,img_filename,product_type,image_reflection,image_clarity,prediction_confidence
0,IMG_0905_jpeg.rf.b2ae1483882c9455f45686447af57c58.jpg,OtherNoodles,Low,High,High
1,IMG_0912_jpeg.rf.c28bb648801db28873a2696f7cfede5a.jpg,OtherNoodles,Low,High,High
2,IMG_0909_jpeg.rf.4a6139765fb8980135892d319291c8d0.jpg,OtherNoodles,Low,High,High
3,IMG_0913_jpeg.rf.4fcc1d7f7d5d11696655ca5f3dc792ff.jpg,Pasta,Low,High,High
4,IMG_0906_jpeg.rf.6f0902070a4ae1dd4c6188155fb18446.jpg,InstantNoodles,Low,Medium,High
5,IMG_0907_jpeg.rf.1b02922942d43ac67075a116f22eece9.jpg,TeaPowderLeaves,Medium,High,High
6,IMG_3367_jpeg.rf.18a3b661bac3d6ba3d50110eb506b3f3.jpg,Nuts,Medium,High,High
7,IMG_3363_jpeg.rf.27b21f158f5ae3354846bd6206daee24.jpg,Nuts,Low,High,High
8,IMG_3384_jpeg.rf.459d4797230b25dadc5518acfbf5e107.jpg,Nuts,Low,High,High
9,IMG_3364_jpeg.rf.608fb0f05ab7295a5cd800933feef406.jpg,Nuts,Medium,High,High
10,IMG_3382_jpeg.rf.3f030c826653af1730df56ae14de80f2.jpg,Nuts,Low,High,High
11,IMG_3362_jpeg.rf.2e62a40d141127e32dcc0387ff968e4c.jpg,Nuts,Medium,High,High
12,IMG_3385_jpeg.rf.49c073425a0fe1954809fa7def6091dd.jpg,Nuts,Low,High,High
13,IMG_3377_jpeg.rf.5db05ab921c8d748237b0c5b89859234.jpg,Nuts,Medium,High,High
14,IMG_3381_jpeg.rf.4c42384c32563c8e3aaf917806b53432.jpg,Nuts,Low,High,High
15,IMG_3378_jpeg.rf.906f43b07016f88d62bcc533929f3e50.jpg,Nuts,Medium,High,High
16,IMG_3423_jpeg.rf.76c5d9ea7afacf535ee8a1a6a589e6c9.jpg,Nuts,Low,High,High
17,IMG_3383_jpeg.rf.759e309901efedec81fe1092361125c6.jpg,Nuts,Medium,High,High
18,IMG_3394_jpeg.rf.96cf306931363a434feb9261198bf511.jpg,Nuts,Low,High,High
19,IMG_3421_jpeg.rf.6bf10d2cb4a9f772595be385c1c8545f.jpg,Nuts,Low,High,High
20,IMG_3425_jpeg.rf.616a873fcf031e1de8503d3baba0a28c.jpg,Nuts,Medium,High,High
21,IMG_3424_jpeg.rf.8def1c375e63c54781e6dea5c73acdaf.jpg,Nuts,Low,High,High
22,IMG_3366_jpeg.rf.bb9f9635c820f8ec2bfe5a2a1b2787ef.jpg,Nuts,Low,High,High
23,IMG_3395_jpeg.rf.dc5de9bdfe4d214cc053d6f8537bacd7.jpg,Nuts,Low,High,High
24,IMG_3370_jpeg.rf.6e882ffa3d25e70249e327f76e90eded.jpg,Nuts,Medium,High,High
25,IMG_3361_jpeg.rf.e9c6d5b1a4b608b9597839f73d487f64.jpg,Nuts,Medium,High,High
26,IMG_3365_jpeg.rf.9c5c8a6327843ba4ccddacedbdec6470.jpg,Nuts,Medium,High,High
27,IMG_3369_jpeg.rf.b1b0a9f2c7fe45fb47dbd546c759dca6.jpg,Nuts,Medium,High,High
28,IMG_3376_jpeg.rf.a8e4695d6bb97ce9e0cc9f940440a0f7.jpg,Nuts,Low,High,High
29,IMG_3392_jpeg.rf.84e82815866cb1cdd4b4fb22976f500c.jpg,Nuts,Low,High,High
30,IMG_3391_jpeg.rf.cdb42e0a2853b6d84ec8225930c836a7.jpg,Nuts,Low,High,High
31,IMG_3379_jpeg.rf.efb5f19e78349200e1c9120192b5c613.jpg,Nuts,Low,High,High
32,IMG_3368_jpeg.rf.f8dfe3e00309e5beee240208f597794e.jpg,Nuts,Medium,High,High
33,IMG_3380_jpeg.rf.fd566d9f933b40636da05831f41d145e.jpg,OtherDriedFood,Medium,Medium,High
