,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
0,1,0.001,0.2,0.001,0.02710653282701969,0.004083520267158747,15,"[3, 3, 7]"
1,1,0.001,0.3,0.001,0.02796846814453602,0.0035338234156370163,19,"[3, 3, 7]"
2,1,0.001,0.4,0.001,0.032093197107315063,0.0037168613635003567,16,"[3, 3, 7]"
3,1,0.001,0.5,0.001,0.054750263690948486,0.03663928061723709,6,"[3, 3, 7]"
4,1,0.001,0.6,0.001,0.07523345947265625,0.02012140117585659,10,"[3, 3, 7]"
5,1,0.001,0.7,0.001,0.09469791501760483,0.03352152928709984,9,"[3, 3, 7]"
6,1,0.001,0.8,0.001,0.13502685725688934,0.004780881106853485,12,"[3, 3, 7]"
7,1,0.003,0.2,0.001,0.013183856382966042,0.003899885108694434,15,"[3, 3, 7]"
8,1,0.003,0.3,0.001,0.013796721585094929,0.003340877126902342,18,"[3, 3, 7]"
9,1,0.003,0.4,0.001,0.17296269536018372,0.006570403929799795,0,"[3, 3, 7]"
10,1,0.003,0.5,0.001,0.04075581952929497,0.005628123413771391,8,"[3, 3, 7]"
11,1,0.003,0.6,0.001,0.08434517681598663,0.004681200720369816,5,"[3, 3, 7]"
12,1,0.003,0.7,0.001,0.07201803475618362,0.003747986862435937,8,"[3, 3, 7]"
13,1,0.003,0.8,0.001,0.21577322483062744,0.003287582891061902,6,"[3, 3, 7]"
14,1,0.005,0.2,0.001,0.023219769820570946,0.004830978810787201,9,"[3, 3, 7]"
15,1,0.005,0.3,0.001,0.01863248459994793,0.00615379074588418,12,"[3, 3, 7]"
16,1,0.005,0.4,0.001,0.010021893307566643,0.0038109119050204754,25,"[3, 3, 7]"
17,1,0.005,0.5,0.001,0.17481596767902374,0.004211547784507275,0,"[3, 3, 7]"
18,1,0.005,0.6,0.001,0.06546634435653687,0.0040817237459123135,7,"[3, 3, 7]"
19,1,0.005,0.7,0.001,0.0539061464369297,0.004329183604568243,11,"[3, 3, 7]"
20,1,0.005,0.8,0.001,0.06602130830287933,0.004350636154413223,13,"[3, 3, 7]"
21,1,0.007,0.2,0.001,0.020290270447731018,0.007538449019193649,13,"[3, 3, 7]"
22,1,0.007,0.3,0.001,0.011934129521250725,0.00428270036354661,21,"[3, 3, 7]"
23,1,0.007,0.4,0.001,0.061940137296915054,0.005629020743072033,9,"[3, 3, 7]"
24,1,0.007,0.5,0.001,0.17481596767902374,0.023486629128456116,0,"[3, 3, 7]"
25,1,0.007,0.6,0.001,0.18389500677585602,0.00812474824488163,0,"[3, 3, 7]"
26,1,0.007,0.7,0.001,0.09239548444747925,0.005696562118828297,6,"[3, 3, 7]"
27,1,0.007,0.8,0.001,0.06391309946775436,0.0059351022355258465,14,"[3, 3, 7]"
28,1,0.009000000000000001,0.2,0.001,0.08117314428091049,0.008619978092610836,10,"[3, 3, 7]"
29,1,0.009000000000000001,0.3,0.001,0.009635565802454948,0.004117571283131838,29,"[3, 3, 7]"
30,1,0.009000000000000001,0.4,0.001,0.013430667109787464,0.003716482548043132,18,"[3, 3, 7]"
31,1,0.009000000000000001,0.5,0.001,0.009786318056285381,0.0038385253865271807,31,"[3, 3, 7]"
32,1,0.009000000000000001,0.6,0.001,0.18389500677585602,0.0046784901060163975,0,"[3, 3, 7]"
33,1,0.009000000000000001,0.7,0.001,0.031253881752491,0.004595901817083359,11,"[3, 3, 7]"
34,1,0.009000000000000001,0.8,0.001,0.09488099813461304,0.004853127058595419,8,"[3, 3, 7]"
35,1,0.011,0.2,0.001,0.11840883642435074,0.01687014475464821,8,"[3, 3, 7]"
36,1,0.011,0.3,0.001,0.06409456580877304,0.10622385144233704,7,"[3, 3, 7]"
37,1,0.011,0.4,0.001,0.02034173160791397,0.008451825007796288,19,"[3, 3, 7]"
38,1,0.011,0.5,0.001,0.034922413527965546,0.006498046685010195,6,"[3, 3, 7]"
39,1,0.011,0.6,0.001,0.010151158086955547,0.004298248793929815,24,"[3, 3, 7]"
40,1,0.011,0.7,0.001,0.008067385293543339,0.004584003239870071,31,"[3, 3, 7]"
41,1,0.011,0.8,0.001,0.07142322510480881,0.008684431202709675,13,"[3, 3, 7]"
42,1,0.013000000000000001,0.2,0.001,0.14597785472869873,0.01568807289004326,7,"[3, 3, 7]"
43,1,0.013000000000000001,0.3,0.001,0.05535224452614784,0.5022956132888794,6,"[3, 3, 7]"
44,1,0.013000000000000001,0.4,0.001,0.02411174215376377,0.00393387908115983,19,"[3, 3, 7]"
45,1,0.013000000000000001,0.5,0.001,0.05832287669181824,0.02873753197491169,9,"[3, 3, 7]"
46,1,0.013000000000000001,0.6,0.001,0.11159081012010574,0.005522300489246845,4,"[3, 3, 7]"
47,1,0.013000000000000001,0.7,0.001,0.22005349397659302,0.20281696319580078,0,"[3, 3, 7]"
48,1,0.013000000000000001,0.8,0.001,0.05946984887123108,0.012990551069378853,13,"[3, 3, 7]"
49,1,0.015,0.2,0.001,0.13351932168006897,0.01629265584051609,6,"[3, 3, 7]"
50,1,0.015,0.3,0.001,0.018029633909463882,0.11126147210597992,25,"[3, 3, 7]"
51,1,0.015,0.4,0.001,0.27419620752334595,0.020036308094859123,3,"[3, 3, 7]"
52,1,0.015,0.5,0.001,0.018787827342748642,0.004283830523490906,26,"[3, 3, 7]"
53,1,0.015,0.6,0.001,0.09703844785690308,0.024613145738840103,4,"[3, 3, 7]"
