,img_filename,product_type,image_reflection,image_clarity,prediction_confidence
0,IMG_3380_jpeg.rf.fd566d9f933b40636da05831f41d145e.jpg,OtherDriedFood,Medium,Medium,High
1,IMG_3422_jpeg.rf.f695d139869b733ac2cee0cd397e7e40.jpg,Nuts,Medium,High,High
2,IMG_6522_jpeg.rf.a352769efac0f839c5027f71f5b97cb3.jpg,HoneyOtherSpreads,Low,High,High
3,IMG_6520_jpeg.rf.e48e65fd050e06aa56aea7c5c603b028.jpg,HoneyOtherSpreads,Low,Medium,High
4,IMG_6521_jpeg.rf.9aeff523d7790d87bdb2b8fa19ea8254.jpg,HoneyOtherSpreads,Medium,Medium,High
5,IMG_2278_JPG.rf.92856df9fd88a45daec252a528bbea66.jpg,InstantNoodles,Medium,Medium,High
6,IMG_2275_JPG.rf.906876ee1ff11c8cb72e17a84927bee7.jpg,BeehoonVermicelliMeesua,Medium,High,High
7,IMG_2277_JPG.rf.03a2b98e27ba9f0291f2ed937d8c75f6.jpg,BeehoonVermicelliMeesua,Medium,High,High
8,IMG_2276_JPG.rf.b946d7f6b9a184023dde929ac9558c44.jpg,InstantNoodles,Medium,Medium,High
9,IMG_2279_JPG.rf.fba890ed4f2adac8f834b7349b3a4eaa.jpg,NutellaChocolate,Low,High,High
10,IMG_2203_JPG.rf.25c99b645c6f94e0762b0f1b4951f253.jpg,OtherNoodles,Medium,High,High
11,IMG_2202_JPG.rf.2d77c1134474800293969121576435fa.jpg,OtherNoodles,Low,High,High
12,IMG_2212_JPG.rf.01c658419d19f33b211c826fc28b11ac.jpg,PotatochipsKeropok,Medium,High,High
13,IMG_2200_JPG.rf.438b4cd6e0816e936d2fe47575cee5c7.jpg,BeehoonVermicelliMeesua,Medium,High,High
14,IMG_2214_JPG.rf.577def0e1a9e1b8f85c8f04c99f90f55.jpg,InstantNoodles,Medium,Low,Medium
15,IMG_2213_JPG.rf.3d31bc57ba303b548cdcabbc85ba8b2e.jpg,PotatochipsKeropok,Medium,High,High
16,IMG_2207_JPG.rf.bad2039d2bbbc442cac1e16c5099f831.jpg,OtherNoodles,Low,Medium,Low
