"","x"
"1","Nuts"
"2","HoneyOtherSpreads"
"3","Babyfood"
"4","BiscuitsCrackersCookies"
"5","InstantMeals"
"6","OtherNoodles"
"7","SweetsChocolatesOthers"
"8","BeehoonVermicelliMeesua"
"9","BabyMilkPowder"
"10","Coffee"
"11","PotatochipsKeropok"
"12","MaternalMilkPowder"
"13","OtherDriedFood"
"14","Pasta"
"15","PotatoSticks"
"16","Sugar"
"17","CerealBeveragePowder"
"18","RolledOatsInstantOatmeal"
"19","OtherSauceDressingSoupbasePaste"
"20","Kaya"
"21","FruitJuice"
"22","Book"
"23","Flour"
"24","InstantNoodles"
"25","Salt"
"26","SoftDrinks"
"27","NutellaChocolate"
"28","Sardines"
"29","AdultMilk"
"30","RiceBrownOthers"
"31","Oil"
"32","WetWiper"
"33","OtherBakingNeeds"
"34","CornChip"
"35","TeaPowderLeaves"
"36","Peanutbutter"
"37","BreakfastCerealsCornflakes"
"38","CannedPacketCreamersSweet"
"39","MiloPowder"
"40","ChilliSauce"
"41","FlavoredMilk"
