,img_filename,product_type,weight,halal,health,image_reflection,image_clarity,product_type_confidence,weight_confidence,halal_confidence,health_confidence
0,IMG_20230428_123528_jpg.rf.5687b7b914f6d9aa98cadf060d1e3b00.jpg,Sugar,300-399g,Halal,NonHealthy,Low,High,High,High,Medium,High
1,IMG_20230428_123522_jpg.rf.204ff37f497f2dce442c7cc3d291ef78.jpg,Flour,500-599g,Halal,NonHealthy,Low,High,High,High,Low,High
2,IMG_20230428_123708_jpg.rf.141ecd0cefaea75c0b7a5f281475dd6b.jpg,Sugar,500-599g,Halal,NonHealthy,Low,High,High,High,Medium,High
3,IMG_20230428_123521_jpg.rf.1069b402272252862ec686589ee0dc3c.jpg,Sugar,1-99g,Halal,NonHealthy,Medium,High,High,Medium,Low,High
4,IMG_20230428_123659_jpg.rf.5e1b6c4caabe48cf36003cb4184ff380.jpg,Sugar,500-599g,Halal,NonHealthy,Low,High,High,High,Medium,High
5,IMG_20230428_123520_jpg.rf.57a9c7c075e605c7c691efb1dcf227d8.jpg,Sugar,500-599g,Halal,NonHealthy,Low,High,High,High,Medium,High
6,IMG_20230428_123527_jpg.rf.8dd407b0ee5203fd4a46ddf1e061a37f.jpg,Sugar,500-599g,Halal,NonHealthy,Low,High,High,High,Medium,High
7,IMG_20230428_123529_jpg.rf.c757a35ff8715805953ae034409a23cd.jpg,Sugar,1-99g,Halal,NonHealthy,Low,High,High,Medium,Low,High
8,IMG_20230428_123704_jpg.rf.5fc2415d06061ea102ef125a37bbc88c.jpg,Sugar,1-99g,Halal,NonHealthy,Low,High,High,Low,Low,High
9,IMG_20230428_123703_jpg.rf.6a9c54175f59238cdc83999cdee6dad4.jpg,Instant Noodles,400-499g,Halal,NonHealthy,Low,High,High,Medium,Medium,High
10,IMG_9845_JPG.rf.79179e2933d602f5396a50d0a96ea77b.jpg,Instant Noodles,700-799g,Halal,NonHealthy,Low,High,High,High,High,Medium
11,IMG_9847_JPG.rf.9b1f1f5aef44a1c04751b432886e363e.jpg,Instant Noodles,700-799g,Halal,NonHealthy,Low,High,High,High,High,Medium
12,IMG_9843_JPG.rf.06efa72d980beea92d81c2c2bb431b01.jpg,Instant Noodles,400-499g,Halal,NonHealthy,Low,High,High,Medium,High,High
13,IMG_9850_JPG.rf.a656c02511bfa87362592d2143f2d886.jpg,Instant Noodles,700-799g,Halal,NonHealthy,Low,High,High,High,Medium,Low
14,IMG_9841_JPG.rf.28ef5b4cff189e03a7ad931905e56f7e.jpg,Instant Noodles,500-599g,Halal,NonHealthy,Low,High,High,Medium,High,High
15,IMG_9849_JPG.rf.9bd576b3de05d91a4a8c73290848470d.jpg,Instant Noodles,700-799g,Halal,NonHealthy,Low,High,High,High,Medium,High
