prd_type,xmin,ymin,xmax,ymax,filename,tmp_img_file_path,halal
Baked beans_400-499g,138,157,612,940,Baked beans_400-499g_1.png,Baked beans_400-499g/Baked beans_400-499g_1.png,N
Baked beans_400-499g,172,165,685,1021,Baked beans_400-499g_10.png,Baked beans_400-499g/Baked beans_400-499g_10.png,N
Baked beans_400-499g,158,108,668,988,Baked beans_400-499g_11.png,Baked beans_400-499g/Baked beans_400-499g_11.png,N
Baked beans_400-499g,119,98,649,982,Baked beans_400-499g_12.png,Baked beans_400-499g/Baked beans_400-499g_12.png,N
Baked beans_400-499g,174,58,663,958,Baked beans_400-499g_13.png,Baked beans_400-499g/Baked beans_400-499g_13.png,N
Baked beans_400-499g,195,143,664,963,Baked beans_400-499g_14.png,Baked beans_400-499g/Baked beans_400-499g_14.png,N
Baked beans_400-499g,188,111,744,1029,Baked beans_400-499g_15.png,Baked beans_400-499g/Baked beans_400-499g_15.png,N
Baked beans_400-499g,102,79,669,1010,Baked beans_400-499g_16.png,Baked beans_400-499g/Baked beans_400-499g_16.png,N
Baked beans_400-499g,148,101,659,952,Baked beans_400-499g_17.png,Baked beans_400-499g/Baked beans_400-499g_17.png,N
Baked beans_400-499g,117,135,622,978,Baked beans_400-499g_18.png,Baked beans_400-499g/Baked beans_400-499g_18.png,N
Baked beans_400-499g,188,127,709,1011,Baked beans_400-499g_19.png,Baked beans_400-499g/Baked beans_400-499g_19.png,N
Baked beans_400-499g,170,150,621,921,Baked beans_400-499g_2.png,Baked beans_400-499g/Baked beans_400-499g_2.png,N
Baked beans_400-499g,96,95,621,970,Baked beans_400-499g_20.png,Baked beans_400-499g/Baked beans_400-499g_20.png,N
Baked beans_400-499g,113,116,624,968,Baked beans_400-499g_21.png,Baked beans_400-499g/Baked beans_400-499g_21.png,N
Baked beans_400-499g,124,150,679,1052,Baked beans_400-499g_22.png,Baked beans_400-499g/Baked beans_400-499g_22.png,N
Baked beans_400-499g,121,158,646,1015,Baked beans_400-499g_23.png,Baked beans_400-499g/Baked beans_400-499g_23.png,N
Baked beans_400-499g,146,176,641,940,Baked beans_400-499g_24.png,Baked beans_400-499g/Baked beans_400-499g_24.png,N
Baked beans_400-499g,112,165,646,999,Baked beans_400-499g_25.png,Baked beans_400-499g/Baked beans_400-499g_25.png,N
Baked beans_400-499g,143,99,678,999,Baked beans_400-499g_26.png,Baked beans_400-499g/Baked beans_400-499g_26.png,N
Baked beans_400-499g,113,93,703,1056,Baked beans_400-499g_27.png,Baked beans_400-499g/Baked beans_400-499g_27.png,N
Baked beans_400-499g,127,127,687,1001,Baked beans_400-499g_28.png,Baked beans_400-499g/Baked beans_400-499g_28.png,N
Baked beans_400-499g,112,134,645,977,Baked beans_400-499g_29.png,Baked beans_400-499g/Baked beans_400-499g_29.png,N
Baked beans_400-499g,141,151,675,1020,Baked beans_400-499g_3.png,Baked beans_400-499g/Baked beans_400-499g_3.png,N
Baked beans_400-499g,163,146,647,915,Baked beans_400-499g_30.png,Baked beans_400-499g/Baked beans_400-499g_30.png,N
Baked beans_400-499g,143,179,668,1006,Baked beans_400-499g_31.png,Baked beans_400-499g/Baked beans_400-499g_31.png,N
Baked beans_400-499g,106,153,646,990,Baked beans_400-499g_32.png,Baked beans_400-499g/Baked beans_400-499g_32.png,N
Baked beans_400-499g,163,123,683,1018,Baked beans_400-499g_4.png,Baked beans_400-499g/Baked beans_400-499g_4.png,N
Baked beans_400-499g,164,98,681,989,Baked beans_400-499g_5.png,Baked beans_400-499g/Baked beans_400-499g_5.png,N
Baked beans_400-499g,176,141,678,952,Baked beans_400-499g_6.png,Baked beans_400-499g/Baked beans_400-499g_6.png,N
Baked beans_400-499g,164,105,661,973,Baked beans_400-499g_7.png,Baked beans_400-499g/Baked beans_400-499g_7.png,N
Baked beans_400-499g,140,158,668,1021,Baked beans_400-499g_8.png,Baked beans_400-499g/Baked beans_400-499g_8.png,N
Baked beans_400-499g,202,120,678,932,Baked beans_400-499g_9.png,Baked beans_400-499g/Baked beans_400-499g_9.png,N
Baked beans_400-499g,171,222,623,916,Baked beans_400-499g_b1.png,Baked beans_400-499g/Baked beans_400-499g_b1.png,N
Baked beans_400-499g,447,77,765,549,Baked beans_400-499g_d1.png,Baked beans_400-499g/Baked beans_400-499g_d1.png,N
Baked beans_400-499g,234,81,427,366,Baked beans_400-499g_d10.png,Baked beans_400-499g/Baked beans_400-499g_d10.png,N
Baked beans_400-499g,209,88,405,338,Baked beans_400-499g_d11.png,Baked beans_400-499g/Baked beans_400-499g_d11.png,N
Baked beans_400-499g,227,103,418,350,Baked beans_400-499g_d12.png,Baked beans_400-499g/Baked beans_400-499g_d12.png,N
Baked beans_400-499g,211,113,395,354,Baked beans_400-499g_d13.png,Baked beans_400-499g/Baked beans_400-499g_d13.png,N
Baked beans_400-499g,237,95,431,353,Baked beans_400-499g_d14.png,Baked beans_400-499g/Baked beans_400-499g_d14.png,N
