Filename,CorrectTotalLabel,ProductType_AdultMilk,ProductType_Babyfood,ProductType_Babymilk-powder,ProductType_BeehoonVermicelliMeesua,ProductType_BiscuitsCrackersCookies,ProductType_Book,ProductType_Breakfast-cereals-cornflakes,ProductType_Canned-Packet-Creamers-Sweet,ProductType_CerealBeverage-powder,ProductType_CerealBeverage-powder-,ProductType_ChilliSauce,ProductType_Coffee,ProductType_CornChip,ProductType_FlavoredMilk,ProductType_Flour,ProductType_FruitJuice,ProductType_HoneyOtherSpreads,ProductType_InstantMeals,ProductType_InstantNoodles,ProductType_Kaya,ProductType_MaternalMilkPowder,ProductType_Milo-powder-,ProductType_NutellaChocolate,ProductType_Nuts,ProductType_Oil,ProductType_OtherBakingNeeds,ProductType_OtherDriedFood,ProductType_OtherNoodles,ProductType_OtherSauceDressingSoupbasePaste,ProductType_Pasta,ProductType_Peanutbutter,ProductType_PotatoSticks,ProductType_PotatochipsKeropok,ProductType_Rice(brown-others),ProductType_RolledOatsInstantOatmeal,ProductType_Salt,ProductType_Sardines,ProductType_SoftDrinks,ProductType_Sugar,ProductType_SweetsChocolatesOthers,ProductType_Tea-powder-leaves-,ProductType_WetWiper,Weight_1-99g,Weight_100-199g,Weight_1000-1999g,Weight_200-299g,Weight_300-399g,Weight_3000-3999g,Weight_400-499g,Weight_500-599g,Weight_600-699g,Weight_700-799g,Weight_800-899g,Weight_900-999g,HalalStatus_Halal,HalalStatus_NonHalal,HealthStatus_Healthy,HealthStatus_NonHealthy
20231215_output_frame_0244,PotatoSticks_1-99g_Halal_NonHealthy,-1.5874435,-2.4969068,-3.559909,-2.2734227,1.6716943,-0.49072978,-3.641042,-2.6827056,-3.2927842,-3.799899,-3.7094822,-3.5194495,-1.0673693,-3.904305,-3.1491065,-3.6170986,-2.78897,-3.1775913,-2.1753786,-2.1259177,-2.4027302,-4.141118,-3.8479626,-2.6034575,-2.8982863,-4.157926,-4.728733,-3.8693724,-1.9947594,-1.5637311,-3.465769,7.1783195,-2.6521027,5.527551,-0.433489,-4.412856,-2.8621573,-4.19434,-3.5589669,-2.868656,-3.0737684,-1.0320421,5.105447,0.3231355,-3.697448,-2.677045,-1.6812878,-5.5124826,3.0059915,-1.9388558,-3.6262865,-2.6329265,-4.0784006,-3.5503433,2.0264525,-3.0927677,-3.7510426,2.9960237
output_frame_0617,Kaya_400-499g_Halal_NonHealthy,-4.127325,-1.5333998,-1.6895962,-1.0418023,-1.0244608,-4.6026115,-2.5586638,0.078719825,-1.8834816,-5.0115952,-1.8403581,-2.8261204,-3.6831622,-3.1467721,-3.6351976,-3.862718,-1.3261614,-2.4129405,-1.4092995,8.595114,-3.606542,-4.012909,-3.6848407,-1.09758,-1.2325463,-3.05678,-4.7272754,-2.7081683,-2.93938,-0.48691466,-1.9772278,-2.8287165,-1.9431405,1.4261253,-3.3497038,-3.289618,-2.8570983,-2.772476,-2.120214,-1.1311477,-3.2997918,-4.2307773,-0.40408233,-1.4523246,-3.7403867,-0.72965074,-1.1610849,-5.0273485,7.9886346,-1.3082125,-4.263793,-2.572152,-3.962276,-3.8512235,4.229371,-4.2681656,-4.517332,4.193677
IMG_5422_jpeg.rf.40db706026c5805998a4ef32aaea01bd,BiscuitsCrackersCookies_100-199g_Halal_NonHealthy,-3.5752664,-1.3859107,-2.7726338,-0.9318739,7.9307027,-4.527698,-3.8655317,-3.3746793,-4.003448,-2.411338,-3.5109148,-2.165494,-4.6686544,-3.6213057,-2.3025253,-3.012627,-3.3294125,0.17673545,-1.062728,-3.4185762,-3.6633763,-4.326626,-4.272525,-0.44405678,-3.2959914,-3.2473793,-2.1951811,-1.6592461,-3.4865916,-2.3811646,-4.143283,-2.1915352,-3.030899,-2.1173193,-1.7394176,-3.991409,-1.850502,-4.3680315,-2.2683935,-1.8593755,-0.90502614,-2.9415839,-2.4134445,8.123978,-2.3808544,-0.168153,-2.1465485,-4.029487,-1.1404501,-3.05643,-2.557728,-2.8689394,-1.7751116,-3.7716074,2.3202581,-3.072567,-3.8159173,3.3484285
IMG_9829_JPG.rf.9dcff8b32299bc2d7285db157c38e6d6,OtherNoodles_500-599g_NonHalal_NonHealthy,-3.7258794,-4.6872945,-3.8403986,-1.2930268,-0.5854062,-5.36357,-4.0929832,-4.8439283,-5.2578363,-0.23099628,-3.3153102,-2.524586,-4.1013436,-4.043006,-2.585995,-3.8664753,-3.7491686,-3.5477927,-2.7600908,-5.3278565,-3.0457845,-2.5078514,-3.1976075,-1.2184588,-2.3178117,-3.0648952,-4.238047,7.684442,2.0465996,-1.6797495,-4.2168174,-4.772655,-2.6819997,-4.4067454,-0.17771634,-1.0251008,-4.828769,-5.3499537,-2.0946674,-1.3221414,-3.197703,-4.4684653,-2.3656685,0.07641059,-2.5195692,-2.679358,-0.3992246,-3.7899182,-1.9578478,4.8607645,-1.2012303,-0.3254093,-2.3431761,-3.9166398,-2.4946635,2.0369015,-4.395383,3.6893284
2023_10_25_11_52_33_260721,MaternalMilkPowder_600-699g_Halal_NonHealthy,2.656255,0.11632514,2.7241297,-3.962348,-1.72144,-6.6066546,-3.9000607,-5.223273,-4.4611697,0.8898839,-3.6135523,-0.85054284,-7.129515,-3.2407582,-5.6966558,-4.7752566,-2.9326541,-2.454497,-2.101444,-4.733576,9.2188835,-4.5087843,-5.046324,-2.7138908,-4.8069134,-2.3586395,-6.083569,-1.3460703,-0.43726686,-3.320229,-3.4675844,-3.9445314,-3.9005408,-5.0238104,-2.7534313,-5.218338,-3.6914833,-6.003182,-5.2955236,-4.20689,-2.160515,-5.675067,-0.8969584,-2.2371268,-3.9117692,-0.2096807,-4.050477,-6.7955613,-2.1151724,-1.5513531,7.8382845,-1.7883104,-0.91657853,-1.6286144,1.9921901,-3.3521752,-3.2129588,2.2715776
output_frame_0290,BiscuitsCrackersCookies_100-199g_NonHalal_NonHealthy,-4.143206,-0.27524188,-3.1524599,-1.9684803,7.5237765,-4.6767306,-5.2049565,-3.1071675,-3.221044,-4.623329,-3.8476253,-2.6304033,-3.8675148,-4.403652,-3.5456657,-3.5898795,-2.9351926,-1.3769139,-0.983366,-1.9464344,-2.9981327,-3.7528007,-2.194936,-0.87699604,-4.312602,-3.226724,-1.218206,-1.8179731,-3.454003,-1.708857,-3.8421547,-2.6806817,-2.511438,-0.5685981,-3.8055768,-4.007092,-1.8500916,-5.6583734,-2.493102,-1.1236466,-1.3817735,-2.8877797,-1.2654607,7.538055,-3.8899336,-1.1970649,-1.1722513,-3.6525025,0.19682643,-2.6458254,-3.9330122,-2.9472911,-3.2095792,-4.0489607,-3.1240053,2.078899,-5.688173,5.5139976
IMG_5627_jpeg.rf.43d72c83364558a9a1256dc8fc81cd98,InstantNoodles_400-499g_Halal_NonHealthy,-2.2750857,-3.5105486,-2.4745028,-0.4216847,0.19828153,-4.12447,0.23618037,-1.2392023,-5.0770884,-2.947316,-3.299974,-2.2508035,-5.1314497,-3.8848114,-3.524302,-3.598936,-2.6740935,1.0335119,8.207667,-1.8547208,-1.9503546,-2.9533825,-4.3509607,-2.8350437,-1.8028753,-2.3630664,-4.0308795,-1.2633578,-4.507299,-0.19319677,-2.386874,-2.411796,-2.5930965,-1.5786203,-2.7174149,-2.8357732,-2.0261078,-4.8369575,-2.4610107,-3.4597323,-2.5345354,-3.3458993,-1.1375109,-0.55447525,-3.6193247,-2.0268538,-1.1170561,-4.9755807,7.299758,-2.1434553,-2.3164873,-3.4809284,-2.1434379,-3.1384752,3.587483,-3.5242944,-3.6273713,3.5985072
IMG_20230428_121404_jpg.rf.8e41c997b5cec265fdbaebc4803baa5f,Sugar_3000-3999g_NonHalal_NonHealthy,-2.3104916,-3.413496,-1.8574568,-0.5461606,-0.46526495,-4.3292956,-4.054793,-4.33574,-4.2433095,-3.9464242,-3.7789567,-1.6938123,-2.6450448,-4.921848,-0.56371653,-5.263183,-2.710742,-3.3953376,-2.7247417,-4.681585,-2.6556354,-3.4079993,-3.0475872,-3.328939,-2.6684139,-1.1806812,-2.1675801,0.2766541,-3.129988,-1.1169915,-0.6675665,-4.8897386,-3.3808193,-4.188134,-2.2028773,-1.5356821,-3.2574646,-5.1538835,10.651429,0.7578015,-2.8188694,-4.279571,-2.3014402,-1.961643,-1.6088165,-1.4901043,-1.2101696,6.6631827,-0.64866805,-1.5570816,-3.4387465,-4.4130845,2.2018318,-2.6610048,-4.513001,3.2727985,-4.6678624,4.757246
IMG_2269_JPG.rf.baa3bac5b0836d4721e9a0f83df47086,BeehoonVermicelliMeesua_200-299g_NonHalal_NonHealthy,-3.5093665,-0.2537786,-2.786097,8.998228,0.41225263,-4.482995,-4.1763935,-3.6361835,-4.060918,-4.77732,-2.418328,-2.8750947,-3.7548664,-4.479617,-1.6693866,-4.6441383,-3.246349,-2.5541437,-0.7156756,-2.3691185,-2.7850082,-2.8380396,-2.915385,-2.9333875,-4.036153,-3.3654537,-1.7318438,-1.1394854,-0.4608262,0.8003886,-3.5596824,-3.4960523,-2.4114518,-1.7641647,-3.7931132,-2.3435326,-2.7377055,-3.0676963,-2.7565413,-1.7419016,-2.3799381,-3.4471865,-2.4696434,0.37939417,-3.4075253,6.186572,-1.4296228,-3.0958447,-0.21054575,-2.0895228,-3.6191723,-3.7551615,-1.4198484,-4.020623,-4.216772,4.24594,-4.034509,3.6222796
IMG_5511_jpeg.rf.53791c86b0ec78a5b54513383a82050b,BiscuitsCrackersCookies_400-499g_Halal_NonHealthy,-2.5765057,-2.4637167,-2.7719743,-1.2837414,8.330517,-4.0004554,-1.698916,-1.2130945,-4.143836,-2.0879807,-3.5034862,-1.8115389,-5.003241,-3.6207902,-2.9216611,-3.7076766,-3.4415731,-1.6381476,1.6290678,-3.1986878,-3.0115767,-2.8550231,-4.4689865,-3.8594575,-2.5030332,-2.0577333,-4.63179,-2.021244,-3.7909844,-2.778482,-3.5526438,-2.3062859,-3.5473382,-0.9708978,0.07294291,-4.4471426,-2.4101226,-4.921499,-2.6189497,-3.27688,-2.2654557,-3.9024422,-1.2301431,-0.8746719,-1.5679746,-0.3791485,-1.5367703,-5.1192975,6.647014,-2.9823601,-2.3829424,-3.6711905,-2.306438,-3.4970746,4.0117917,-4.5023484,-3.4035807,2.9584677
2023_8_11_11_22_37_458907_png.rf.117bd355009032cff9e8c315248420b6,Coffee_400-499g_Halal_Healthy,-4.6148324,-4.9535947,-1.1000271,-3.1656177,-2.5967102,-4.9159026,-0.66996086,-0.78720576,-3.1204178,-2.76584,-3.588153,7.116152,-6.2772274,0.12037293,-6.069217,-5.965864,-1.5161136,-4.198757,-3.3781688,-2.8735888,-3.905261,-0.77189976,-4.4091,-3.650739,-2.186774,-2.5329726,-5.40511,-3.8729646,-0.93814886,-3.9907637,-0.92300785,-5.259384,-5.3160005,-2.5326169,-0.22312151,-5.34697,-4.2819777,-1.139754,-1.7699294,-4.4950776,-1.539196,-5.4330273,-3.2105508,-1.1081173,-1.9289181,1.3751078,-2.5210311,-6.596851,7.7123113,-3.007703,-3.623732,-1.6150714,-2.9186475,-4.0984883,3.7218385,-4.6197414,4.019764,-4.5548406
IMG_9874_JPG.rf.83a5031a626d09461569605cfa84b733,OtherNoodles_300-399g_NonHalal_NonHealthy,-4.6547656,-3.6193097,-3.6566768,0.9891017,-1.8296655,-5.8276377,-4.053301,-4.191825,-2.3877778,-1.1178828,-1.3797488,-3.2865396,-4.1943674,-3.0382195,-3.2946851,-6.0315347,-3.434558,-4.395666,-3.7979498,-5.5233693,-2.7534955,-2.3714137,0.61974734,-1.2804886,-0.3668798,-2.3489137,-5.7673345,8.722139,-0.6352096,-1.3036813,-1.2109725,-4.7342505,-3.445972,-4.6286187,-2.7977448,-4.5429935,-4.740423,-6.3513465,-1.8125945,-2.956072,-2.9593647,-5.583582,-1.9909221,-0.8450734,-3.2781298,-2.9671037,8.301812,-3.4082444,-2.2332647,-0.16065925,-1.3575399,-2.1361678,-3.4333522,-3.9843814,-4.2888613,3.1586084,-2.9721856,2.429644
