,img_filename,product_type,image_reflection,image_clarity,prediction_confidence
0,IMG_20230428_123528_jpg.rf.5687b7b914f6d9aa98cadf060d1e3b00.jpg,Sugar,Medium,High,High
1,IMG_20230428_123522_jpg.rf.204ff37f497f2dce442c7cc3d291ef78.jpg,Sugar,Low,High,High
2,IMG_20230428_123708_jpg.rf.141ecd0cefaea75c0b7a5f281475dd6b.jpg,Sugar,Low,High,High
3,IMG_20230428_123521_jpg.rf.1069b402272252862ec686589ee0dc3c.jpg,Sugar,Low,High,High
4,IMG_20230428_123659_jpg.rf.5e1b6c4caabe48cf36003cb4184ff380.jpg,Sugar,Low,High,High
5,IMG_20230428_123520_jpg.rf.57a9c7c075e605c7c691efb1dcf227d8.jpg,Sugar,Low,High,High
6,IMG_20230428_123527_jpg.rf.8dd407b0ee5203fd4a46ddf1e061a37f.jpg,Sugar,Low,High,High
7,IMG_20230428_123529_jpg.rf.c757a35ff8715805953ae034409a23cd.jpg,Sugar,Low,High,High
8,IMG_20230428_123704_jpg.rf.5fc2415d06061ea102ef125a37bbc88c.jpg,Sugar,Low,High,High
9,IMG_20230428_123703_jpg.rf.6a9c54175f59238cdc83999cdee6dad4.jpg,Sugar,Low,High,High
10,IMG_9845_JPG.rf.79179e2933d602f5396a50d0a96ea77b.jpg,InstantNoodles,Low,High,High
11,IMG_9847_JPG.rf.9b1f1f5aef44a1c04751b432886e363e.jpg,InstantNoodles,Low,High,High
12,IMG_9843_JPG.rf.06efa72d980beea92d81c2c2bb431b01.jpg,InstantNoodles,Low,High,High
13,IMG_9850_JPG.rf.a656c02511bfa87362592d2143f2d886.jpg,Instant Noodles,Low,High,High
14,IMG_9841_JPG.rf.28ef5b4cff189e03a7ad931905e56f7e.jpg,InstantNoodles,Low,High,High
15,IMG_9849_JPG.rf.9bd576b3de05d91a4a8c73290848470d.jpg,InstantNoodles,Low,High,High
16,IMG_9842_JPG.rf.a3f3c34f9b3efe81ce6af2079b346bbd.jpg,InstantNoodles,Low,High,High
17,IMG_9844_JPG.rf.cafa972310eb5e4d4175bd7757db0c40.jpg,InstantNoodles,Low,High,High
18,IMG_9846_JPG.rf.94ff895c1b40623b89d9d089fd37f3bd.jpg,InstantNoodles,Medium,High,High
19,IMG_9848_JPG.rf.f9e97063d03e41b6848d8f2da0c5afbe.jpg,Flour,Low,High,High
