filepath,label,ProductType,Weight,HalalStatus,HealthStatus
2023_10_25_11_23_10_398347.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_23_15_511639.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_23_20_365276.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_23_25_214064.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_23_36_634635.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_23_46_148599.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_29_12_163138.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_29_17_748204.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_29_29_936048.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
2023_10_25_11_29_34_492008.jpg,AdultMilk_1-99g_Halal_NonHealthy,AdultMilk,1-99g,Halal,NonHealthy
IMG_3534_jpeg.rf.142e4ac93ed0f2dec9c9f68b4f0fa39e.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3537_jpeg.rf.2d667b3d5e3571bb54309a26be3ae5c7.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3437_jpeg.rf.2ec68e9edd7f039c73225797d77b74e7.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3446_jpeg.rf.1b86f738f071b74de075b503a3bdd761.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3442_jpeg.rf.3f2785b9cb1ba9a272b60ead15de65e4.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3441_jpeg.rf.75ba4cbcb59551314ef16d3306e9c95b.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3438_jpeg.rf.6d44c03e26156f8357a4381a30873073.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
