,Seed,Learning Rate,Dropout Rate,Temperature,Best Training Loss,Best Validation Loss,Epoch,Alpha Max Indices
0,1,0.001,0.2,0.05,0.02413342334330082,0.004113140050321817,16,"[3, 3, 7]"
1,1,0.001,0.3,0.05,0.025811271741986275,0.004753684159368277,20,"[3, 3, 7]"
2,1,0.001,0.4,0.05,0.031482819467782974,0.0042042904533445835,18,"[3, 3, 7]"
3,1,0.001,0.5,0.05,0.0580049566924572,0.037690419703722,7,"[3, 3, 7]"
4,1,0.001,0.6,0.05,0.0759974792599678,0.01513161975890398,10,"[3, 3, 7]"
5,1,0.001,0.7,0.05,0.09396420419216156,0.026490338146686554,9,"[3, 3, 7]"
6,1,0.001,0.8,0.05,0.15132535994052887,0.00445715943351388,13,"[3, 3, 7]"
7,1,0.003,0.2,0.05,0.009693699888885021,0.0032304388005286455,29,"[3, 3, 7]"
8,1,0.003,0.3,0.05,0.1576550155878067,0.0039061307907104492,3,"[3, 3, 7]"
9,1,0.003,0.4,0.05,0.042872216552495956,0.0042528193444013596,12,"[3, 6, 7]"
10,1,0.003,0.5,0.05,0.11616282165050507,0.004824254661798477,3,"[3, 3, 7]"
11,1,0.003,0.6,0.05,0.056235820055007935,0.004043303895741701,12,"[3, 3, 7]"
12,1,0.003,0.7,0.05,0.06932847946882248,0.003687559626996517,11,"[3, 3, 7]"
13,1,0.003,0.8,0.05,0.2031305581331253,0.0032629144843667746,6,"[3, 3, 7]"
14,1,0.005,0.2,0.05,0.013064597733318806,0.005299813114106655,14,"[3, 6, 7]"
15,1,0.005,0.3,0.05,0.016786374151706696,0.005322754383087158,13,"[3, 6, 7]"
16,1,0.005,0.4,0.05,0.011923168785870075,0.004060431849211454,24,"[3, 6, 7]"
17,1,0.005,0.5,0.05,0.08856283128261566,0.004465946927666664,5,"[3, 3, 7]"
18,1,0.005,0.6,0.05,0.1021239161491394,0.004233782645314932,6,"[3, 3, 7]"
19,1,0.005,0.7,0.05,0.05901803821325302,0.005475235637277365,11,"[3, 3, 7]"
20,1,0.005,0.8,0.05,0.1852264255285263,0.005106059368699789,3,"[3, 3, 7]"
21,1,0.007,0.2,0.05,0.025794709101319313,0.010587822645902634,12,"[3, 6, 7]"
22,1,0.007,0.3,0.05,0.03853666037321091,0.00629365025088191,10,"[3, 6, 7]"
23,1,0.007,0.4,0.05,0.01897195354104042,0.0059979683719575405,12,"[3, 6, 7]"
24,1,0.007,0.5,0.05,1.3255826234817505,0.004240339621901512,2,"[3, 3, 7]"
25,1,0.007,0.6,0.05,0.08299104869365692,0.004244997166097164,6,"[3, 6, 7]"
26,1,0.007,0.7,0.05,0.3169316053390503,0.008956457488238811,2,"[3, 3, 7]"
27,1,0.007,0.8,0.05,0.05823210999369621,0.0056247771717607975,11,"[3, 6, 7]"
28,1,0.009000000000000001,0.2,0.05,0.06671427935361862,0.02002626098692417,10,"[3, 6, 7]"
29,1,0.009000000000000001,0.3,0.05,0.03776714950799942,0.011521631851792336,10,"[3, 6, 7]"
30,1,0.009000000000000001,0.4,0.05,0.03732210770249367,0.014041740447282791,11,"[3, 6, 7]"
31,1,0.009000000000000001,0.5,0.05,0.03124673292040825,0.010116003453731537,6,"[3, 6, 7]"
32,1,0.009000000000000001,0.6,0.05,0.18386568129062653,0.0051408628933131695,0,"[3, 3, 7]"
33,1,0.009000000000000001,0.7,0.05,0.46278712153434753,0.008993017487227917,2,"[3, 3, 7]"
34,1,0.009000000000000001,0.8,0.05,0.34448692202568054,0.0035202382132411003,1,"[3, 3, 7]"
35,1,0.011,0.2,0.05,0.09568876028060913,0.022719215601682663,10,"[3, 6, 7]"
36,1,0.011,0.3,0.05,0.058984942734241486,0.022736238315701485,9,"[3, 6, 7]"
37,1,0.011,0.4,0.05,0.04984324797987938,0.040689967572689056,8,"[3, 6, 7]"
38,1,0.011,0.5,0.05,0.06253107637166977,0.014229565858840942,7,"[3, 6, 7]"
39,1,0.011,0.6,0.05,0.18386568129062653,0.005993328057229519,0,"[3, 3, 7]"
40,1,0.011,0.7,0.05,0.1376858502626419,0.01519124023616314,3,"[3, 6, 7]"
41,1,0.011,0.8,0.05,0.05027269199490547,0.005220975261181593,13,"[3, 6, 7]"
42,1,0.013000000000000001,0.2,0.05,0.166476771235466,0.11922696232795715,8,"[3, 6, 7]"
43,1,0.013000000000000001,0.3,0.05,0.05978526175022125,0.032044667750597,9,"[3, 6, 7]"
44,1,0.013000000000000001,0.4,0.05,0.30380308628082275,0.5577027201652527,3,"[3, 6, 7]"
45,1,0.013000000000000001,0.5,0.05,0.01104437280446291,0.0038707214407622814,30,"[3, 6, 7]"
46,1,0.013000000000000001,0.6,0.05,0.18386568129062653,0.023338844999670982,0,"[3, 3, 7]"
47,1,0.013000000000000001,0.7,0.05,0.21467313170433044,0.005000270437449217,5,"[3, 6, 7]"
48,1,0.013000000000000001,0.8,0.05,0.13461032509803772,0.018585240468382835,3,"[3, 6, 7]"
49,1,0.015,0.2,0.05,0.030654706060886383,0.058697931468486786,18,"[3, 6, 7]"
50,1,0.015,0.3,0.05,0.019186969846487045,0.006784349679946899,19,"[3, 6, 7]"
51,1,0.015,0.4,0.05,0.011795621365308762,0.0055648088455200195,33,"[3, 6, 7]"
52,1,0.015,0.5,0.05,0.018675489351153374,0.006016319151967764,16,"[3, 6, 7]"
53,1,0.015,0.6,0.05,0.01118165347725153,0.011928331106901169,17,"[3, 6, 7]"
54,1,0.015,0.7,0.05,0.03016471303999424,0.017737116664648056,12,"[3, 6, 7]"
55,1,0.015,0.8,0.05,0.05901201814413071,0.018428264185786247,12,"[3, 6, 7]"
56,1,0.017,0.2,0.05,0.03593302145600319,0.24586917459964752,17,"[3, 6, 7]"
57,1,0.017,0.3,0.05,0.0173625685274601,0.00960848480463028,20,"[3, 6, 7]"
58,1,0.017,0.4,0.05,0.01687042787671089,0.0044580427929759026,19,"[3, 6, 7]"
59,1,0.017,0.5,0.05,0.020838472992181778,0.015210133045911789,16,"[3, 6, 7]"
60,1,0.017,0.6,0.05,0.07741101086139679,0.021319270133972168,7,"[3, 6, 7]"
61,1,0.017,0.7,0.05,0.02944992482662201,0.006174719892442226,12,"[3, 6, 7]"
62,1,0.017,0.8,0.05,0.046695634722709656,0.010325418785214424,12,"[3, 6, 7]"
63,1,0.019000000000000003,0.2,0.05,0.00859319418668747,0.08292390406131744,56,"[3, 6, 7]"
64,1,0.019000000000000003,0.3,0.05,0.018446041271090508,0.02784065343439579,25,"[3, 6, 7]"
65,1,0.019000000000000003,0.4,0.05,0.020669812336564064,0.008216862566769123,17,"[3, 6, 7]"
66,1,0.019000000000000003,0.5,0.05,0.029239309951663017,0.009144920855760574,15,"[3, 6, 7]"
67,1,0.019000000000000003,0.6,0.05,0.011559246107935905,0.005812529474496841,19,"[3, 6, 7]"
68,1,0.019000000000000003,0.7,0.05,0.023433130234479904,0.009741498157382011,13,"[3, 6, 7]"
69,1,0.019000000000000003,0.8,0.05,0.3595314025878906,0.022447023540735245,2,"[3, 6, 7]"
70,1,0.021,0.2,0.05,2.0099759101867676,1.3961080312728882,2,"[3, 6, 7]"
71,1,0.021,0.3,0.05,0.01687604747712612,0.011336425319314003,25,"[3, 6, 7]"
72,1,0.021,0.4,0.05,0.019738253206014633,0.004560666624456644,17,"[3, 6, 7]"
73,1,0.021,0.5,0.05,0.027220889925956726,0.0056309024803340435,15,"[3, 6, 7]"
