"original_label","label_idx"
"BabyMilkPowder",1
"MilkPowder",2
"Babyfood",3
"BiscuitsCrackersCookies",4
"InstantMeals",5
"OtherSauceDressing",6
"BreakfastCereals",7
"OtherNoodles",8
"BeehoonVermicelli",9
"Potatochips",10
"Pasta",11
"RolledOatsInstantOatmeal",12
"OtherDriedFood",13
"Nuts",14
"CannedBakedBeans",15
"CannedBeefOtherMeats",16
"CannedBraisedPeanuts",17
"CannedChicken",18
"CannedSoup",19
"CannedTunaDace",20
"CoffeePowder",21
"DriedBeans",22
"Flour",23
"Sugar",24
"OtherSpreads",25
"Kaya",26
"MaternalMilkPowder",27
"Oil",28
"OtherBakingNeeds",29
"MilkDrink",30
"OtherCannedVegetables",31
"Salt",32
"ChocolateMaltPowder",33
"TeaPowderLeaves",34
"SweetsChocolatesOthers",35
